CardName|CIF_ID|CIF_ID_PrincipalMember|FirstName|IDNumber|LastName|MiddleName|PrintingType|ReferenceNumber|ReplaceReason|Suffix|SessionReference|Operator|Timestamp
TEST SANTOS|4444441111111||TEST||SANTOS||New|6576567567567565|-Select Item-||SN0001_20210615_083059_0001|Administrator|6/15/2021 8:41:00 AM
New|-Select Item-|2321321111111|TEST||BRESTRES|||||TEST BRESTRES|SN0001_20210615_084837_0002|Administrator|6/15/2021 8:50:47 AM
TEST QASTRAST|2341233333333||TEST||QASTRAST||-Select Item-||-Select Item-||SN0001_20210615_014310_0003|Administrator|6/15/2021 1:45:08 PM
TEST JUSTO|4444444422222||TEST||JUSTO||-Select Item-||-Select Item-||SN0001_20210615_030222_0004|Administrator|6/15/2021 3:10:00 PM
TEST BRONES|1231111111111||TEST||BRONES||-Select Item-||-Select Item-||SN0001_20210615_032301_0005|Administrator|6/15/2021 3:24:23 PM
TEST JULIANO|2432432432424||TEST||JULIANO||New||-Select Item-||SN0001_20210615_084904_0006|Administrator|6/15/2021 8:50:30 PM
TEST MAKI|3242222222222||TEST||MAKI||-Select Item-||-Select Item-||SN0001_20210615_091211_0007|Administrator|6/15/2021 9:13:36 PM
TEST MARQUEZ|5554311111111|2432342432432|TEST||MARQUEZ||-Select Item-||-Select Item-||SN0001_20210615_091508_0008|Administrator|6/15/2021 9:18:13 PM
JUAN TORRES|8874322222222||JUAN||TORRES||New||-Select Item-||SN0001_20210615_093113_0009|Administrator|6/15/2021 9:33:11 PM
LUCAS C ARIANA|1111111111111||LUCAS||ARIANA|C|-Select Item-||-Select Item-||SN0001_20210615_093634_0010|Administrator|6/15/2021 9:38:47 PM
LUCY REYES|6354311111111||LUCY||REYES||-Select Item-||-Select Item-||SN0001_20210615_093634_0010|Administrator|6/15/2021 9:41:06 PM
